Order_ID,Customer_ID,Order_Date,Shipping_City,Total_Order_Value,Order_day,Order_Month,Order_Year,Order_Status_Delivered,Order_Status_Pending,Order_Status_Returned,Sales_Channel_Online,Sales_Channel_Store,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI,Shipping_State_Bihar,Shipping_State_Chandigarh,Shipping_State_Delhi,Shipping_State_Gujarat,Shipping_State_Karnataka,Shipping_State_Kerala,Shipping_State_Madhya Pradesh,Shipping_State_Maharashtra,Shipping_State_Odisha,Shipping_State_Punjab,Shipping_State_Rajasthan,Shipping_State_Tamil Nadu,Shipping_State_Telangana,Shipping_State_Uttar Pradesh,Shipping_State_West Bengal
ORD0000001,CUST001444,2024-08-16,Kochi,222.81,16,8,2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD0000002,CUST003248,2024-08-16,Chennai,2685.98,16,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD0000003,CUST000269,2024-08-16,Delhi,395.24,16,8,2024,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORD0000004,CUST000948,2024-08-16,Jodhpur,986.55,16,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000005,CUST002044,2024-08-16,Ahmedabad,560.43,16,8,2024,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000006,CUST002090,2024-08-16,Hyderabad,811.86,16,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ORD0000007,CUST000700,2024-08-16,Varanasi,645.15,16,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000008,CUST002935,2024-08-16,Vadodara,2128.09,16,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000009,CUST001608,2024-08-16,Kolkata,1158.52,16,8,2024,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000010,CUST004428,2024-08-16,Vadodara,588.05,16,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000011,CUST001598,2024-08-16,Pune,575.24,16,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000012,CUST003513,2024-08-16,Mumbai,1371.24,16,8,2024,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000013,CUST004769,2024-08-16,Mumbai,1751.48,16,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000014,CUST002132,2024-08-16,Pune,1419.06,16,8,2024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000015,CUST000890,2024-08-16,Pune,2633.84,16,8,2024,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000016,CUST002829,2024-08-16,Lucknow,4014.64,16,8,2024,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD0000017,CUST003652,2024-08-16,Jodhpur,1214.33,16,8,2024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD0000018,CUST003732,2024-08-16,Howrah,624.65,16,8,2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD0000019,CUST003205,2024-08-16,Thiruvananthapuram,756.44,16,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD0000020,CUST002457,2024-08-16,Surat,593.3,16,8,2024,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD0000021,CUST004867,2024-08-16,Bhopal,619.31,16,8,2024,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD0000022,CUST001170,2024-08-16,,418.21,16,8,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000023,CUST004029,2024-08-16,Pune,1116.19,16,8,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD0000024,CUST001189,2024-08-16,Delhi,258.86,16,8,2024,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
