Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount,Item_Total
OI00000001,ORD0000001,PROD0171,2,330.0,32.5,445.5
OI00000002,ORD0000001,PROD0177,3,4120.0,6.0,11618.4
OI00000003,ORD0000001,PROD0156,1,470.0,13.6,406.08
OI00000004,ORD0000001,PROD0159,1,280.0,18.1,229.32
OI00000005,ORD0000002,PROD0044,4,3150.0,6.9,11730.6
OI00000006,ORD0000002,PROD0142,2,6940.0,13.3,12033.96
OI00000007,ORD0000003,PROD0010,2,82510.0,9.4,149508.12
OI00000008,ORD0000003,PROD0007,2,63590.0,18.8,103270.16
OI00000009,ORD0000003,PROD0203,1,2550.0,6.8,2376.6
OI00000010,ORD0000004,PROD0129,4,200.0,24.5,604.0
OI00000011,ORD0000004,PROD0110,2,140.0,7.6,258.72
OI00000012,ORD0000005,PROD0097,3,1600.0,13.0,4176.0
OI00000013,ORD0000005,PROD0095,2,1420.0,0.0,2840.0
OI00000014,ORD0000006,PROD0159,1,280.0,22.9,215.88
OI00000015,ORD0000006,PROD0005,2,12290.0,2.6,23940.92
OI00000016,ORD0000006,PROD0009,1,2890.0,12.9,2517.19
OI00000017,ORD0000007,PROD0161,1,590.0,34.8,384.68
OI00000018,ORD0000007,PROD0162,1,390.0,16.3,326.43
OI00000019,ORD0000007,PROD0046,3,1420.0,0.9,4221.66
OI00000020,ORD0000007,PROD0164,2,520.0,35.0,676.0
OI00000021,ORD0000007,PROD0154,3,1490.0,15.5,3777.15
OI00000022,ORD0000008,PROD0133,1,3400.0,1.8,3338.8
OI00000023,ORD0000008,PROD0147,1,4700.0,5.9,4422.7
OI00000024,ORD0000008,PROD0009,1,2890.0,22.3,2245.53
OI00000025,ORD0000009,PROD0191,4,4890.0,9.5,17701.8
OI00000026,ORD0000009,PROD0207,3,1800.0,0.0,5400.0
OI00000027,ORD0000010,PROD0073,2,6500.0,15.5,10985.0
OI00000028,ORD0000010,PROD0105,2,500.0,12.5,875.0
OI00000029,ORD0000010,PROD0113,1,350.0,13.6,302.4
OI00000030,ORD0000010,PROD0082,1,2130.0,21.3,1676.31
OI00000031,ORD0000011,PROD0136,1,1760.0,13.5,1522.4
OI00000032,ORD0000011,PROD0140,2,6330.0,13.4,10963.56
OI00000033,ORD0000012,PROD0094,3,840.0,26.5,1852.2
OI00000034,ORD0000013,PROD0185,2,2020.0,18.1,3308.76
OI00000035,ORD0000014,PROD0018,1,110010.0,3.9,105719.61
OI00000036,ORD0000014,PROD0129,4,200.0,17.8,657.6
OI00000037,ORD0000015,PROD0019,3,64610.0,0.0,193830.0
OI00000038,ORD0000015,PROD0059,5,2590.0,0.0,12950.0
OI00000039,ORD0000016,PROD0089,2,860.0,35.8,1104.24
OI00000040,ORD0000016,PROD0085,2,1430.0,2.7,2782.78
OI00000041,ORD0000016,PROD0095,3,1420.0,13.5,3684.9
OI00000042,ORD0000017,PROD0205,1,3230.0,6.4,3023.28
OI00000043,ORD0000017,PROD0195,1,6730.0,5.0,6393.5
OI00000044,ORD0000017,PROD0199,3,3100.0,14.0,7998.0
OI00000045,ORD0000018,PROD0043,3,2900.0,0.0,8700.0
OI00000046,ORD0000019,PROD0028,1,11120.0,0.5,11064.4
OI00000047,ORD0000019,PROD0157,4,560.0,12.9,1951.04
OI00000048,ORD0000019,PROD0140,3,6330.0,4.0,18230.4
OI00000049,ORD0000019,PROD0003,1,63870.0,2.0,62592.6
OI00000050,ORD0000020,PROD0023,1,30193.87,4.0,28986.12
OI00000051,ORD0000021,PROD0063,1,490.0,0.0,490.0
OI00000052,ORD0000022,PROD0159,2,280.0,16.8,465.92
OI00000053,ORD0000022,PROD0164,2,520.0,40.0,624.0
OI00000054,ORD0000023,PROD0119,2,380.0,8.4,696.16
OI00000055,ORD0000024,PROD0058,1,2870.0,7.9,2643.27
OI00000056,ORD0000025,PROD0134,1,1020.0,22.0,795.6
OI00000057,ORD0000025,PROD0136,1,1760.0,14.8,1499.52
OI00000058,ORD0000025,PROD0135,4,1030.0,6.2,3864.56
OI00000059,ORD0000025,PROD0082,3,2130.0,6.0,6006.6
OI00000060,ORD0000025,PROD0138,1,5440.0,3.1,5271.36
OI00000061,ORD0000025,PROD0199,1,3100.0,17.3,2563.7
OI00000062,ORD0000026,PROD0072,1,1660.0,11.3,1472.42
OI00000063,ORD0000026,PROD0096,1,840.0,19.4,677.04
OI00000064,ORD0000026,PROD0071,3,4550.0,0.0,13650.0
OI00000065,ORD0000027,PROD0192,3,11160.0,25.4,24976.08
OI00000066,ORD0000027,PROD0205,1,3230.0,0.0,3230.0
OI00000067,ORD0000028,PROD0020,4,58070.0,18.2,190005.04
OI00000068,ORD0000029,PROD0159,1,280.0,15.1,237.72
OI00000069,ORD0000029,PROD0081,2,2430.0,11.9,4281.66
OI00000070,ORD0000029,PROD0165,1,610.0,17.5,503.25
OI00000071,ORD0000029,PROD0168,2,980.0,23.5,1499.4
OI00000072,ORD0000029,PROD0164,2,520.0,34.9,677.04
OI00000073,ORD0000030,PROD0168,1,980.0,38.0,607.6
OI00000074,ORD0000031,PROD0170,1,440.0,14.2,377.52
OI00000075,ORD0000032,PROD0119,1,380.0,12.1,334.02
OI00000076,ORD0000033,PROD0076,1,900.0,5.3,852.3
OI00000077,ORD0000033,PROD0081,2,2430.0,16.2,4072.68
OI00000078,ORD0000033,PROD0067,1,3200.0,0.0,3200.0
OI00000079,ORD0000034,PROD0171,3,330.0,28.6,706.86
OI00000080,ORD0000034,PROD0185,4,2020.0,28.0,5817.6
OI00000081,ORD0000034,PROD0181,2,4510.0,33.6,5989.28
OI00000082,ORD0000035,PROD0189,1,1460.0,24.5,1102.3
OI00000083,ORD0000035,PROD0199,5,3100.0,13.6,13392.0
OI00000084,ORD0000036,PROD0161,1,590.0,40.0,354.0
OI00000085,ORD0000037,PROD0035,2,1400.0,5.2,2654.4
OI00000086,ORD0000037,PROD0128,4,450.0,15.3,1524.6
OI00000087,ORD0000037,PROD0036,2,4230.0,19.2,6835.68
OI00000088,ORD0000038,PROD0079,1,7860.0,25.4,5863.56
OI00000089,ORD0000038,PROD0070,1,1330.0,17.7,1094.59
OI00000090,ORD0000038,PROD0066,1,2910.0,6.7,2715.03
OI00000091,ORD0000039,PROD0056,2,2070.0,0.0,4140.0
OI00000092,ORD0000039,PROD0182,3,2770.0,25.2,6215.88
OI00000093,ORD0000040,PROD0153,2,280.0,24.9,420.56
OI00000094,ORD0000040,PROD0164,1,520.0,37.8,323.44
OI00000095,ORD0000041,PROD0045,1,2230.0,22.8,1721.56
OI00000096,ORD0000042,PROD0165,1,610.0,22.4,473.36
OI00000097,ORD0000042,PROD0159,3,280.0,4.9,798.84
OI00000098,ORD0000042,PROD0075,2,1010.0,14.9,1719.02
OI00000099,ORD0000043,PROD0192,1,11160.0,20.8,8838.72
OI00000100,ORD0000043,PROD0194,3,5240.0,9.2,14273.76
OI00000101,ORD0000043,PROD0204,2,1980.0,40.0,2376.0
OI00000102,ORD0000043,PROD0201,1,5115.53,40.0,3069.32
OI00000103,ORD0000044,PROD0201,2,5115.53,17.8,8409.93
OI00000104,ORD0000044,PROD0198,2,5580.0,0.0,11160.0
OI00000105,ORD0000044,PROD0065,2,5430.0,2.8,10555.92
OI00000106,ORD0000044,PROD0059,2,2590.0,0.0,5180.0
OI00000107,ORD0000045,PROD0189,1,1460.0,3.9,1403.06
OI00000108,ORD0000046,PROD0194,1,5240.0,18.0,4296.8
OI00000109,ORD0000046,PROD0147,1,4700.0,0.0,4700.0
OI00000110,ORD0000047,PROD0055,4,2310.0,15.4,7817.04
OI00000111,ORD0000047,PROD0011,4,5690.0,0.0,22760.0
OI00000112,ORD0000047,PROD0031,1,3170.0,9.9,2856.17
OI00000113,ORD0000047,PROD0014,3,292677.21,22.4,681352.54
OI00000114,ORD0000047,PROD0052,3,1470.0,0.0,4410.0
OI00000115,ORD0000047,PROD0020,1,58070.0,16.0,48778.8
OI00000116,ORD0000048,PROD0176,2,3930.0,19.5,6327.3
OI00000117,ORD0000048,PROD0186,1,1000.0,13.3,867.0
OI00000118,ORD0000049,PROD0001,1,24590.0,4.8,23409.68
OI00000119,ORD0000049,PROD0136,1,1760.0,4.9,1673.76
OI00000120,ORD0000049,PROD0004,1,54470.0,7.0,50657.1
OI00000121,ORD0000050,PROD0001,1,24590.0,0.0,24590.0
OI00000122,ORD0000050,PROD0131,1,770.0,0.0,770.0
OI00000123,ORD0000050,PROD0140,1,6330.0,11.5,5602.05
OI00000124,ORD0000050,PROD0004,1,54470.0,5.5,51474.15
OI00000125,ORD0000050,PROD0016,2,8580.65,14.3,14707.23
OI00000126,ORD0000050,PROD0003,2,63870.0,2.5,124546.5
OI00000127,ORD0000051,PROD0029,2,46410.0,6.8,86508.24
OI00000128,ORD0000052,PROD0099,1,1300.0,0.0,1300.0
OI00000129,ORD0000053,PROD0204,3,1980.0,27.4,4312.44
OI00000130,ORD0000053,PROD0061,1,5210.0,21.5,4089.85
OI00000131,ORD0000053,PROD0192,2,11160.0,20.4,17766.72
OI00000132,ORD0000054,PROD0208,1,1170.0,4.3,1119.69
OI00000133,ORD0000055,PROD0053,3,3220.0,18.5,7872.9
OI00000134,ORD0000055,PROD0057,1,870.0,18.6,708.18
OI00000135,ORD0000055,PROD0051,2,1350.0,16.3,2259.9
OI00000136,ORD0000055,PROD0052,2,1470.0,0.0,2940.0
OI00000137,ORD0000055,PROD0204,4,1980.0,28.5,5662.8
OI00000138,ORD0000055,PROD0033,1,1340.0,22.1,1043.86
OI00000139,ORD0000056,PROD0070,1,1330.0,24.0,1010.8
OI00000140,ORD0000056,PROD0066,4,2910.0,4.8,11081.28
OI00000141,ORD0000057,PROD0106,3,480.0,29.4,1016.64
OI00000142,ORD0000057,PROD0118,2,160.0,40.0,192.0
OI00000143,ORD0000057,PROD0112,3,77.0,0.0,231.0
OI00000144,ORD0000058,PROD0051,1,1350.0,12.4,1182.6
OI00000145,ORD0000059,PROD0026,1,4700.0,5.8,4427.4
OI00000146,ORD0000059,PROD0004,2,54470.0,0.0,108940.0
OI00000147,ORD0000059,PROD0030,4,11130.0,15.5,37619.4
OI00000148,ORD0000059,PROD0028,2,11120.0,0.0,22240.0
OI00000149,ORD0000060,PROD0103,5,2400.0,8.2,11016.0
OI00000150,ORD0000060,PROD0086,2,1520.0,13.5,2629.6
OI00000151,ORD0000061,PROD0107,1,150.0,18.5,122.25
OI00000152,ORD0000062,PROD0055,2,2310.0,3.1,4476.78
OI00000153,ORD0000062,PROD0180,2,1030.0,17.2,1705.68
OI00000154,ORD0000062,PROD0086,2,1520.0,12.0,2675.2
OI00000155,ORD0000062,PROD0010,1,82510.0,11.5,73021.35
OI00000156,ORD0000062,PROD0175,5,5460.0,22.9,21048.3
OI00000157,ORD0000062,PROD0188,2,400.0,14.2,686.4
OI00000158,ORD0000063,PROD0181,1,4510.0,17.6,3716.24
OI00000159,ORD0000063,PROD0174,2,3230.0,30.8,4470.32
OI00000160,ORD0000064,PROD0176,2,3930.0,26.9,5745.66
OI00000161,ORD0000065,PROD0126,1,19.0,24.9,14.27
OI00000162,ORD0000065,PROD0122,1,370.0,11.8,326.34
OI00000163,ORD0000066,PROD0113,2,350.0,27.1,510.3
OI00000164,ORD0000066,PROD0129,2,200.0,25.6,297.6
OI00000165,ORD0000067,PROD0166,2,400.0,32.6,539.2
OI00000166,ORD0000067,PROD0196,5,2120.0,14.2,9094.8
OI00000167,ORD0000068,PROD0150,1,5720.0,39.1,3483.48
OI00000168,ORD0000068,PROD0199,3,3100.0,1.4,9169.8
OI00000169,ORD0000068,PROD0175,1,5460.0,34.9,3554.46
OI00000170,ORD0000069,PROD0167,1,470.0,29.6,330.88
OI00000171,ORD0000070,PROD0125,1,390.0,14.0,335.4
OI00000172,ORD0000070,PROD0117,1,230.0,31.9,156.63
OI00000173,ORD0000070,PROD0126,3,19.0,23.3,43.72
OI00000174,ORD0000071,PROD0110,1,140.0,5.7,132.02
OI00000175,ORD0000071,PROD0130,1,280.0,0.0,280.0
OI00000176,ORD0000072,PROD0197,1,6770.0,8.5,6194.55
OI00000177,ORD0000072,PROD0196,4,2120.0,0.0,8480.0
OI00000178,ORD0000072,PROD0090,1,1070.0,13.5,925.55
OI00000179,ORD0000072,PROD0193,1,1370.0,16.1,1149.43
OI00000180,ORD0000072,PROD0167,2,470.0,30.0,658.0
OI00000181,ORD0000073,PROD0202,5,4940.0,11.9,21760.7
OI00000182,ORD0000073,PROD0021,1,21690.0,1.3,21408.03
OI00000183,ORD0000074,PROD0208,1,1170.0,9.9,1054.17
OI00000184,ORD0000074,PROD0195,3,6730.0,16.1,16939.41
OI00000185,ORD0000074,PROD0115,1,560.0,16.1,469.84
OI00000186,ORD0000075,PROD0144,1,3080.0,7.7,2842.84
OI00000187,ORD0000075,PROD0084,4,1570.0,17.7,5168.44
OI00000188,ORD0000075,PROD0131,5,770.0,12.1,3384.15
OI00000189,ORD0000075,PROD0087,1,2630.0,0.9,2606.33
OI00000190,ORD0000075,PROD0183,1,5660.0,0.0,5660.0
OI00000191,ORD0000075,PROD0179,2,2060.0,17.5,3399.0
OI00000192,ORD0000076,PROD0188,2,400.0,15.7,674.4
OI00000193,ORD0000076,PROD0174,2,3230.0,28.1,4644.74
OI00000194,ORD0000077,PROD0061,2,5210.0,15.0,8857.0
OI00000195,ORD0000077,PROD0068,2,330.0,0.0,660.0
OI00000196,ORD0000077,PROD0076,2,900.0,7.1,1672.2
OI00000197,ORD0000078,PROD0185,2,2020.0,28.0,2908.8
OI00000198,ORD0000078,PROD0177,2,4120.0,14.9,7012.24
OI00000199,ORD0000078,PROD0183,1,5660.0,3.3,5473.22
OI00000200,ORD0000078,PROD0060,2,820.0,24.3,1241.48
OI00000201,ORD0000079,PROD0033,1,1340.0,14.5,1145.7
OI00000202,ORD0000079,PROD0044,2,3150.0,3.6,6073.2
OI00000203,ORD0000079,PROD0053,1,3220.0,5.1,3055.78
OI00000204,ORD0000079,PROD0039,1,310.0,0.0,310.0
OI00000205,ORD0000080,PROD0023,5,30193.87,1.0,149459.66
OI00000206,ORD0000080,PROD0004,3,54470.0,1.8,160468.62
OI00000207,ORD0000080,PROD0197,3,6770.0,5.3,19233.57
OI00000208,ORD0000080,PROD0132,2,3150.0,3.7,6066.9
OI00000209,ORD0000081,PROD0043,1,2900.0,0.0,2900.0
OI00000210,ORD0000081,PROD0040,2,2000.0,16.7,3332.0
OI00000211,ORD0000081,PROD0017,3,11120.0,11.9,29390.16
OI00000212,ORD0000081,PROD0057,1,870.0,21.0,687.3
OI00000213,ORD0000081,PROD0054,1,2830.0,4.9,2691.33
OI00000214,ORD0000081,PROD0052,3,1470.0,9.7,3982.23
OI00000215,ORD0000082,PROD0056,1,2070.0,7.8,1908.54
OI00000216,ORD0000082,PROD0168,2,980.0,26.4,1442.56
OI00000217,ORD0000082,PROD0037,1,2580.0,5.1,2448.42
OI00000218,ORD0000083,PROD0026,2,4700.0,7.8,8666.8
OI00000219,ORD0000084,PROD0023,2,30193.87,1.2,59663.09
OI00000220,ORD0000084,PROD0003,1,63870.0,2.8,62081.64
OI00000221,ORD0000085,PROD0070,4,1330.0,13.3,4612.44
OI00000222,ORD0000085,PROD0081,3,2430.0,0.0,7290.0
OI00000223,ORD0000086,PROD0133,1,3400.0,13.9,2927.4
OI00000224,ORD0000087,PROD0031,3,3170.0,16.2,7969.38
OI00000225,ORD0000087,PROD0085,1,1430.0,3.5,1379.95
OI00000226,ORD0000088,PROD0079,2,7860.0,27.7,11365.56
OI00000227,ORD0000088,PROD0071,2,4550.0,2.8,8845.2
OI00000228,ORD0000089,PROD0048,4,1620.0,3.7,6240.24
OI00000229,ORD0000089,PROD0200,1,3590.0,2.2,3511.02
OI00000230,ORD0000089,PROD0190,1,3730.0,14.2,3200.34
OI00000231,ORD0000090,PROD0130,2,280.0,3.7,539.28
OI00000232,ORD0000090,PROD0120,1,390.0,40.0,234.0
OI00000233,ORD0000091,PROD0140,5,6330.0,20.8,25066.8
OI00000234,ORD0000091,PROD0136,5,1760.0,13.7,7594.4
OI00000235,ORD0000092,PROD0186,2,1000.0,18.5,1630.0
OI00000236,ORD0000092,PROD0187,2,2450.0,32.3,3317.3
OI00000237,ORD0000092,PROD0176,3,3930.0,30.1,8241.21
OI00000238,ORD0000092,PROD0181,2,4510.0,29.3,6377.14
OI00000239,ORD0000092,PROD0167,2,470.0,17.9,771.74
OI00000240,ORD0000093,PROD0075,1,1010.0,5.4,955.46
OI00000241,ORD0000093,PROD0024,1,10580.0,13.6,9141.12
OI00000242,ORD0000093,PROD0179,1,2060.0,23.8,1569.72
OI00000243,ORD0000093,PROD0079,5,7860.0,19.1,31793.7
OI00000244,ORD0000093,PROD0205,2,3230.0,0.0,6460.0
OI00000245,ORD0000094,PROD0048,1,1620.0,12.8,1412.64
OI00000246,ORD0000094,PROD0187,2,2450.0,30.9,3385.9
OI00000247,ORD0000094,PROD0185,1,2020.0,23.9,1537.22
OI00000248,ORD0000094,PROD0176,2,3930.0,25.2,5879.28
OI00000249,ORD0000094,PROD0054,1,2830.0,5.0,2688.5
OI00000250,ORD0000094,PROD0175,3,5460.0,15.9,13775.58
OI00000251,ORD0000095,PROD0132,2,3150.0,4.9,5991.3
OI00000252,ORD0000095,PROD0133,2,3400.0,0.0,6800.0
