Order_ID,Customer_ID,Order_Date,Order_Status,Sales_Channel,Payment_Method,Shipping_City,Shipping_State,Total_Order_Value
ORD0000001,CUST001444,2024-08-16,Delivered,Online,Cash on Delivery,Kochi,Kerala,222.81
ORD0000002,CUST003248,2024-08-16,Delivered,Online,UPI,Chennai,Tamil Nadu,2685.98
ORD0000003,CUST000269,2024-08-16,Delivered,Store,UPI,Delhi,Delhi,395.24
ORD0000004,CUST000948,2024-08-16,Delivered,Mobile App,UPI,Jodhpur,Rajasthan,986.55
ORD0000005,CUST002044,2024-08-16,Delivered,Mobile App,Net Banking,Ahmedabad,Gujarat,560.43
ORD0000006,CUST002090,2024-08-16,Delivered,Mobile App,Debit Card,Hyderabad,Telangana,811.86
ORD0000007,CUST000700,2024-08-16,Delivered,Online,UPI,Varanasi,Uttar Pradesh,645.15
ORD0000008,CUST002935,2024-08-16,Delivered,Online,Debit Card,Vadodara,Gujarat,2128.09
ORD0000009,CUST001608,2024-08-16,Delivered,Store,Net Banking,Kolkata,West Bengal,1158.52
ORD0000010,CUST004428,2024-08-16,Delivered,Online,UPI,Vadodara,Gujarat,588.05
ORD0000011,CUST001598,2024-08-16,Delivered,Store,UPI,Pune,Maharashtra,575.24
ORD0000012,CUST003513,2024-08-16,Delivered,Online,UPI,Mumbai,Maharashtra,1371.24
ORD0000013,CUST004769,2024-08-16,Delivered,Online,Credit Card,Mumbai,Maharashtra,1751.48
ORD0000014,CUST002132,2024-08-16,Delivered,Online,Debit Card,Pune,Maharashtra,1419.06
ORD0000015,CUST000890,2024-08-16,Delivered,Online,Credit Card,Pune,Maharashtra,2633.84
ORD0000016,CUST002829,2024-08-16,Delivered,Store,Credit Card,Lucknow,Uttar Pradesh,4014.64
ORD0000017,CUST003652,2024-08-16,Pending,Mobile App,UPI,Jodhpur,Rajasthan,1214.33
ORD0000018,CUST003732,2024-08-16,Delivered,Store,Cash on Delivery,Howrah,West Bengal,624.65
ORD0000019,CUST003205,2024-08-16,Delivered,Store,UPI,Thiruvananthapuram,Kerala,756.44
ORD0000020,CUST002457,2024-08-16,Cancelled,Online,UPI,Surat,Gujarat,593.3
ORD0000021,CUST004867,2024-08-16,Delivered,Store,UPI,Bhopal,Madhya Pradesh,619.31
ORD0000022,CUST001170,2024-08-16,Delivered,Mobile App,UPI,,Maharashtra,418.21
ORD0000023,CUST004029,2024-08-16,Delivered,Mobile App,Debit Card,Pune,Maharashtra,1116.19
ORD0000024,CUST001189,2024-08-16,Delivered,Online,UPI,Delhi,Delhi,258.86
ORD0000025,CUST004659,2024-08-16,Pending,Online,UPI,Chennai,Tamil Nadu,1793.17
ORD0000026,CUST000134,2024-08-16,Delivered,Mobile App,Debit Card,Delhi,Delhi,165.12
ORD0000027,CUST004111,2024-08-16,Returned,Online,Credit Card,Pune,Maharashtra,2232.56
ORD0000028,CUST001582,2024-08-16,Delivered,Mobile App,Credit Card,Lucknow,Uttar Pradesh,3216.08
ORD0000029,CUST004095,2024-08-16,Delivered,Online,Credit Card,Kochi,Kerala,392.48
ORD0000030,CUST004623,2024-08-16,Delivered,Online,UPI,Bengaluru,Karnataka,526.29
ORD0000031,CUST001263,2024-08-16,Cancelled,Online,Credit Card,Varanasi,Uttar Pradesh,1002.42
ORD0000032,CUST003992,2024-08-16,Cancelled,Store,Debit Card,Jaipur,Rajasthan,598.61
ORD0000033,CUST004828,2024-08-16,Delivered,Online,Debit Card,Pune,Maharashtra,492.33
ORD0000034,CUST001705,2024-08-16,Delivered,Online,Net Banking,Madurai,Tamil Nadu,531.3
ORD0000035,CUST003702,2024-08-16,Delivered,Store,Credit Card,Coimbatore,Tamil Nadu,3370.11
ORD0000036,CUST000638,2024-08-16,Delivered,Mobile App,Credit Card,Udaipur,Rajasthan,813.64
ORD0000037,CUST004131,2024-08-16,Delivered,Store,Credit Card,New Delhi,Delhi,846.77
ORD0000038,CUST004717,2024-08-16,Delivered,Store,UPI,Kolkata,West Bengal,639.98
ORD0000039,CUST003090,2024-08-17,Delivered,Online,Debit Card,Chennai,Tamil Nadu,869.77
ORD0000040,CUST003927,2024-08-17,Returned,Store,Cash on Delivery,Chennai,Tamil Nadu,3328.86
ORD0000041,CUST000142,2024-08-17,Delivered,Mobile App,Debit Card,Bengaluru,Karnataka,2647.61
ORD0000042,CUST004147,2024-08-17,Returned,Mobile App,Credit Card,Chandigarh,Chandigarh,1236.97
